# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      115.520     1382.266
       1.001       99.900      164.246     1407.145
       2.002       99.000      212.973     1431.895
       3.003      100.900      262.473     1457.031
       4.004       99.900      312.488     1482.555
       5.005       99.900      363.020     1508.207
       6.006       99.900      413.293     1533.730
       7.008       22.000      477.570     2197.336
       8.008        1.000      477.570     2197.336
       9.009        2.000      477.570     2197.336
      10.010        1.000      477.570     2197.336
      11.011        2.000      477.570     2197.336
      12.012        2.000      477.570     2197.336
      13.012        2.000      477.570     2197.336
      14.012        3.000      477.570     2197.336
      15.014        1.000      477.570     2197.336
      16.015        2.000      477.570     2197.336
      17.016        2.000      477.570     2197.336
      18.017        2.000      477.570     2197.336
      19.018        2.000      477.570     2197.336
      20.019        2.000      477.570     2197.336
      21.020        2.000      477.570     2197.336
      22.020        3.000      477.570     2197.336
      23.021        2.000      477.570     2197.336
      24.022        2.000      477.570     2197.336
      25.024        1.000      477.570     2197.336
      26.024        2.000      477.570     2197.336
      27.026        2.000      477.570     2197.336
      28.027        2.000      477.570     2197.336
      29.028        2.000      477.570     2197.336
      30.029        2.000      477.570     2197.336
      31.030        1.000      477.570     2197.336
      32.031        3.000      477.570     2197.336
      33.032        1.000      477.570     2197.336
      34.033        2.000      477.570     2197.336
      35.034        2.000      477.570     2197.336
      36.036        2.000      477.570     2197.336
      37.037        1.000      477.570     2197.336
      38.038        2.000      477.570     2197.336
      39.038        2.000      477.570     2197.336
      40.039        2.000      477.570     2197.336
      41.040        2.000      477.570     2197.336
      42.041        2.000      477.570     2197.336
      43.042        2.000      477.570     2197.336
      44.044        3.000      477.570     2197.336
      45.045        1.000      477.570     2197.336
      46.046        2.000      477.570     2197.336
      47.046        2.000      477.570     2197.336
      48.048        1.000      477.570     2197.336
      49.049        2.000      477.570     2197.336
      50.049        2.000      477.570     2197.336
      51.050        2.000      477.570     2197.336
      52.052        2.000      477.570     2197.336
      53.053        2.000      477.570     2197.336
      54.054        1.000      477.570     2197.336
      55.055        3.000      477.570     2197.336
      56.056        2.000      477.570     2197.336
      57.058        1.000      477.570     2197.336
      58.058        2.000      477.570     2197.336
      59.058        2.000      477.570     2197.336
      60.059        2.000      477.570     2197.336
      61.060        1.000      477.570     2197.336
      62.061        2.000      477.570     2197.336
      63.061        2.000      477.570     2197.336
      64.062        2.000      477.570     2197.336
      65.063        1.000      477.570     2197.336
      66.064        3.000      477.570     2197.336
      67.064        1.000      477.570     2197.336
      68.066        2.000      477.570     2197.336
      69.067        2.000      477.895     2197.336
      70.068        2.000      477.895     2197.336
      71.069        2.000      477.895     2197.336
      72.070        5.000      487.582     2823.078
      73.071       80.900      506.941     2971.223
      74.072       82.000      513.305     2971.223
      75.073       79.900      514.090     2971.223
      76.074       80.900      513.258     2971.223
      77.076       81.900      513.531     2971.223
      78.077       83.900      514.355     2971.609
      79.078       77.900      515.887     2972.383
      80.080       90.900      518.867     2973.156
      81.080       91.000      521.449     2974.324
      82.081       90.900      523.957     2975.098
      83.083      101.900      527.258     2976.258
      84.084      120.900      532.391     2978.582
      85.085      122.800      535.285     2980.004
      86.086      134.800      540.504     2982.324
      87.088      137.800      543.023     2984.258
      88.089      148.800      541.066     2986.262
      89.090      166.800      551.238     2989.289
      90.092      128.800      554.039     2991.223
      91.093      159.800      559.789     2994.195
      92.094      171.800      564.320     2996.516
      93.095      151.900      567.922     2999.223
      94.096      167.800      570.551     3001.543
      95.096      179.900      577.965     3004.512
      96.097      186.900      583.344     3006.832
      97.098      184.800      588.418     3009.230
      98.098      182.900      595.562     3011.613
      99.099      188.900      595.848     3014.324
     100.100      165.900      600.145     3016.258
     101.101      166.900      601.891     3017.676
     102.102      162.800      605.938     3021.738
     103.103      196.700      612.648     3025.219
     104.104      186.900      616.180     3027.176
     105.105      170.800      619.141     3028.496
     106.106      140.800      622.246     3031.203
     107.108      171.800      627.348     3034.422
     108.108      167.900      630.480     3037.262
     109.109      175.900      631.301     3040.070
     110.109      182.900      639.035     3043.227
     111.110      211.700      648.523     3046.844
     112.112      204.700      653.059     3114.195
     113.113      193.700      657.555     3052.902
     114.114      166.800      660.211     3118.906
     115.115      193.800      668.086     3122.125
     116.116      209.800      670.504     3125.863
     117.117      214.700      684.000     3129.344
     118.117      175.900      689.418     3131.148
     119.119      156.800      691.805     3132.695
     120.120      138.800      693.676     3134.113
     121.121      135.800      694.832     3135.277
     122.122      150.900      697.340     3137.219
     123.122      161.900      699.719     3139.023
     124.122      145.900      701.227     3140.184
     125.124      132.800      703.688     3141.344
     126.125      171.800      708.852     3143.547
     127.125      191.900      714.387     3145.742
     128.126      217.900      716.043     3148.324
     129.127      196.700      721.328     3150.648
     130.128      166.900      723.980     3152.844
     131.129      183.800      727.621     3155.809
     132.130      156.800      730.301     3158.129
     133.131      161.900      733.062     3160.449
     134.132      173.800      732.477     3162.641
     135.132      175.900      743.266     3166.355
     136.134      182.800      748.293     3168.941
     137.135      166.800      747.367     3170.875
     138.136      144.900      755.004     3172.035
     139.137      138.800      756.500     3173.234
     140.138      139.800      759.148     3174.273
     141.140      157.800      762.297     3176.207
     142.140      120.900      763.449     3176.984
     143.141      103.900      763.121     3176.984
     144.143      112.900      763.820     3177.371
     145.144      101.900      763.812     3177.371
     146.145      101.900      763.809     3177.371
     147.146      102.900      764.035     3177.367
     148.148      103.900      764.078     3177.367
     149.170       96.800      763.758     3177.371
     150.171       98.000      764.023     3177.371
     151.172       99.900      763.938     3177.367
     152.173       96.900      764.066     3177.367
     153.173      101.000      763.852     3177.367
     154.175      101.900      758.953     3177.367
     155.176      106.900      764.547     3177.367
     156.177      101.900      764.082     3177.367
     157.178      103.000      764.273     3177.367
     158.179       99.900      759.168     3177.367
     159.180      104.900      763.922     3177.367
     160.180      104.000      764.527     3177.367
     161.181      101.900      764.207     3177.367
     162.182      100.000      759.285     3177.367
     163.183       99.900      764.098     3177.367
     164.184       98.900      764.152     3177.367
     165.184       97.000      764.531     3177.496
     166.185      104.000      764.070     3177.496
     167.186       97.900      764.137     3177.496
     168.187      108.900      764.660     3177.754
     169.188      139.900      767.426     3178.914
     170.188      166.900      772.262     3180.461
     171.190      210.700      779.777     3183.812
     172.191      211.700      786.195     3187.293
     173.192      198.800      791.785     3189.871
     174.193      205.700      793.551     3192.191
     175.194      177.900      794.516     3194.395
     176.195      192.700      799.234     3197.102
     177.196      162.900      801.523     3199.043
     178.196      156.900      803.988     3200.855
     179.198      133.800      805.797     3202.789
     180.199      156.800      807.059     3205.527
     181.200      203.800      820.305     3209.918
     182.201      190.700      824.918     3212.625
     183.202      192.900      832.129     3214.816
     184.203      156.800      836.129     3217.363
     185.204      166.800      838.352     3217.910
     186.205      133.800      840.355     3283.145
     187.207      114.800      842.594     3222.016
     188.208      104.900      842.801     3222.211
     189.209      108.900      843.293     3223.758
     190.210       91.900      840.828     3220.273
     191.212       93.900      840.754     3220.273
     192.213       96.900      841.000     3220.273
     193.213       94.000      840.855     3220.273
     194.214       95.900      840.723     3220.402
     195.215      123.900      841.922     3285.082
     196.216      132.800      843.797     3285.855
     197.216      160.900      845.156     3287.020
     198.218      139.800      846.238     3288.059
     199.219      147.800      848.688     3289.605
     200.220      165.800      853.668     3292.184
     201.221      182.800      858.242     3294.891
     202.222      184.800      865.195     3297.598
     203.224      206.700      867.059     3300.562
     204.224      205.900      878.652     3303.789
     205.225      192.700      882.180     3306.367
     206.227      198.800      885.840     3308.945
     207.228      197.800      888.500     3312.039
     208.229      178.800      892.625     3314.746
     209.231      220.700      897.777     3318.098
     210.232      193.700      901.781     3321.070
     211.232      172.900      906.840     3323.391
     212.233      190.800      906.754     3326.871
     213.234      216.900      920.039     3330.617
     214.234      209.900      925.871     3334.098
     215.235      206.900      932.941     3337.062
     216.236      219.700      939.359     3340.156
     217.237      200.700      938.434     3341.961
     218.238      169.800      946.414     3343.895
     219.239      162.900      949.367     3345.441
     220.240      148.800      951.164     3346.602
     221.240      170.900      947.652     3348.535
     222.242      149.800      954.168     3349.695
     223.242      146.000      955.219     3350.855
     224.243      130.800      956.699     3351.672
     225.244      124.900      952.113     3352.062
     226.245      127.800      957.805     3352.738
     227.246      138.800      959.863     3353.520
     228.247      126.000      960.379     3353.777
     229.248      133.900      962.031     3354.551
     230.249      138.800      963.035     3355.324
     231.249      125.000      963.855     3355.711
     232.251      119.800      964.906     3356.098
     233.252      106.900      964.832     3356.098
     234.252      110.000      959.664     3356.098
     235.253      137.900      964.629     3356.875
     236.253      137.900      970.543     3357.520
     237.254      166.000      974.523     3358.680
     238.254      180.900      977.066     3360.227
     239.255      197.700      979.188     3362.164
     240.256      207.900      982.383     3365.129
     241.257      183.800      986.238     3367.062
     242.258      191.800      990.398     3369.906
     243.259      188.800      988.242     3372.102
     244.260      188.800      998.504     3374.035
     245.261      178.900     1001.844     3376.742
     246.263      168.800     1003.859     3378.938
     247.264      153.800     1005.793     3380.488
     248.265      143.800     1007.566     3382.168
     249.266      132.900     1009.418     3383.328
     250.268      140.800     1011.609     3385.141
     251.269      167.800     1015.426     3387.457
     252.269      160.900     1021.215     3390.777
     253.270      144.900     1022.559     3391.688
     254.271      119.900     1022.852     3391.816
     255.272      131.900     1024.883     3393.363
